"Ice Fortress"
"ice.mrk"
"ice.bmp","ice.bmp"
30,20,15
"Scary.mid"
10,10
0,,,,,|0,,,,|0,,,,|0,,,,|0,,,,|0,,,,|0,,,,|0,,,,|0,,,,|0,,,,|
0,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|0,,,,|
0,,,,|15,,,,|15,,,,|15,,,,|15,,,,2|15,,,,|15,,,,|15,,,,|15,,,,|0,,,,|
0,,,,|15,,,,|2,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|2,,,,|0,,,,|
0,,,,|2,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|2,,,,|15,,,,|0,,,,|
0,,,,|15,,,,|2,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|2,,,,|0,,,,|
0,,,,|2,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|2,,,,|15,,,,|0,,,,|
0,,,,|15,,,,|2,,,,|15,,,,|15,,,,|15,,,,|15,,,,|15,,,,|2,,,,|0,,,,|
0,,,,|15,,,,|15,,,,|15,,,,|15,,,,1|15,,,,|15,,,,|15,,,,|15,,,,|0,,,,|
0,,,,|0,,,,|0,,,,|0,,,,|15,forest.dat:4:3,,,|0,,,,|0,,,,|0,,,,|0,,,,|0,,,,|
END TILES
Ice Wizard,I see you have found me.|Then i guess...|I will teach the freeze spell to you|Why don't you go try it on some of those puddles...,2,2,0,2
END OBJECTS
